study_hours,attendance,assignment_score,midterm_score,practice_score,result
7.7,85.6,9.3,6.8,8.1,1
4.4,62.4,3.1,8.3,9.4,1
8.6,94.0,7.4,8.0,9.3,1
7.0,77.7,8.5,9.1,7.2,1
0.9,51.9,3.9,8.4,9.4,1
9.8,52.9,4.2,4.0,5.3,0
7.6,83.1,9.7,6.4,2.0,1
7.9,54.5,4.1,4.4,2.5,0
1.3,72.9,5.4,4.6,2.9,0
4.5,99.5,5.5,9.5,2.8,1
3.7,45.2,4.0,7.5,4.8,0
9.3,45.9,8.2,9.8,7.6,1
6.4,99.6,8.2,5.3,8.3,1
8.2,77.2,5.0,6.3,6.7,1
4.4,52.0,8.7,5.9,3.2,0
2.3,94.4,3.7,2.9,8.0,1
5.5,93.4,2.0,3.9,4.8,0
0.6,74.5,6.6,6.2,2.1,0
8.3,79.2,10.0,2.5,4.2,1
6.3,60.0,2.3,9.5,4.6,0
7.6,47.8,3.7,3.0,4.2,0
3.5,77.7,6.2,3.6,8.5,1
9.7,61.2,8.5,8.1,8.1,1
8.9,81.5,2.7,2.8,7.6,1
7.8,91.0,5.2,9.2,3.1,1
1.9,46.0,8.0,7.8,8.5,1
4.7,77.8,5.0,2.5,7.4,1
0.4,57.7,3.5,7.5,3.6,0
1.5,93.1,3.6,7.1,7.2,1
6.8,59.0,5.3,8.1,5.9,1
7.4,78.6,5.8,8.6,5.5,1
9.7,75.4,8.9,7.7,2.9,1
3.3,66.8,7.1,6.7,6.1,1
3.7,82.3,7.5,4.6,2.8,0
4.7,84.9,9.9,7.6,3.3,1
1.9,76.2,5.3,9.7,3.1,1
1.3,86.7,5.2,6.7,9.6,1
4.8,99.1,9.4,7.3,4.3,1
2.3,68.1,4.0,5.5,4.8,1
6.7,73.3,7.8,8.0,4.6,1
4.4,45.7,8.0,10.0,9.2,1
8.3,88.8,2.8,3.3,6.5,1
7.0,73.6,5.7,3.6,9.4,1
3.1,67.4,3.6,6.3,4.4,1
8.3,50.2,3.5,5.9,2.9,0
8.0,93.9,5.7,6.6,6.4,1
3.9,66.7,4.3,2.4,4.8,0
2.9,82.5,8.4,5.2,8.4,1
6.8,53.2,9.3,6.7,9.0,1
1.4,97.9,8.4,6.7,5.8,1
2.0,54.8,4.1,7.3,9.8,1
0.1,56.0,4.2,7.8,6.4,0
7.9,92.2,4.0,7.1,4.2,1
6.6,95.2,3.1,8.3,5.9,1
7.1,56.7,9.6,7.0,2.3,1
7.8,70.8,5.2,6.3,8.4,1
4.6,85.3,3.8,6.8,2.8,0
5.7,93.3,8.8,2.8,4.5,1
1.4,65.8,5.2,4.2,6.5,0
1.1,73.4,2.3,6.2,2.3,0
6.7,85.8,3.3,9.0,2.6,1
4.7,85.2,7.1,7.4,7.6,1
5.7,88.1,8.3,2.7,2.6,0
7.6,76.3,3.7,6.7,5.8,1
6.3,50.8,9.3,3.8,4.7,1
5.5,94.7,8.8,7.9,3.8,1
5.6,92.6,8.8,8.6,3.5,1
3.0,88.9,3.8,6.7,8.1,1
0.3,50.5,2.4,6.7,9.6,1
4.4,56.2,8.9,4.7,3.1,0
2.1,85.9,4.4,5.6,9.7,1
4.1,46.3,7.0,8.9,6.8,1
8.5,98.9,8.1,7.8,7.1,1
2.3,65.7,3.0,6.2,7.7,0
0.6,84.6,8.2,4.9,7.6,1
2.8,93.8,9.5,2.4,8.6,1
2.9,66.7,7.8,3.1,5.9,0
6.6,62.6,5.5,3.5,6.3,0
5.6,78.5,9.0,5.0,4.6,1
7.8,77.0,6.2,9.6,2.8,1
6.6,67.5,8.0,6.0,7.3,1
4.1,78.1,8.6,3.9,2.3,0
8.1,96.4,8.0,2.8,4.2,1
1.7,70.7,4.3,4.7,2.8,0
0.2,55.8,2.9,8.5,3.5,0
0.9,65.7,3.9,5.1,7.1,0
7.2,66.7,6.0,8.2,7.0,1
4.6,52.2,6.0,8.4,5.4,1
1.6,54.0,6.7,2.9,2.7,0
5.0,82.7,5.2,6.9,5.5,1
1.5,63.7,8.3,9.7,4.8,1
7.0,97.5,9.3,5.2,7.8,1
4.5,58.4,4.0,2.4,6.6,0
3.8,50.4,7.9,9.4,5.9,1
3.0,86.4,7.4,9.1,5.9,1
6.3,93.5,6.2,6.2,9.7,1
3.6,60.3,3.5,6.4,8.1,1
0.9,56.1,8.4,3.7,6.0,0
1.2,55.2,9.7,8.6,5.8,1
9.6,73.7,7.8,6.0,2.2,1
9.1,70.8,9.3,2.3,9.5,1
7.0,59.3,9.9,7.5,4.6,1
2.7,47.5,4.8,9.6,4.0,1
9.7,71.5,7.1,8.6,10.0,1
7.8,97.8,5.8,4.2,7.7,1
7.2,80.9,9.9,2.4,2.4,1
4.5,72.3,2.8,9.5,2.5,1
2.7,51.1,5.3,9.5,2.2,0
1.0,58.9,9.0,6.3,6.8,1
9.0,61.2,4.3,7.1,2.6,1
4.6,87.1,8.3,5.7,9.5,1
2.0,93.2,5.1,5.4,9.5,1
3.1,94.6,9.8,3.0,6.4,1
5.8,99.2,9.1,2.8,6.9,1
1.8,99.0,4.4,3.9,4.3,0
8.6,97.4,8.2,8.7,2.5,1
7.6,49.0,4.7,3.2,7.9,0
7.2,52.6,6.9,3.8,2.8,0
4.3,61.7,7.3,6.4,2.7,0
6.3,75.4,8.6,3.7,4.5,1
5.8,50.3,2.2,3.3,2.1,0
6.5,91.5,3.8,6.5,5.5,1
0.8,78.9,7.7,4.9,7.7,0
4.2,74.8,6.5,7.0,8.4,1
0.4,54.1,6.0,9.3,6.8,1
4.9,58.9,2.4,3.2,8.8,0
3.3,53.8,4.8,9.3,5.3,1
1.4,91.9,8.9,9.2,8.8,1
1.0,77.1,2.2,8.6,6.1,1
5.9,85.4,5.2,7.1,3.8,1
1.7,61.3,9.6,7.0,9.6,1
9.3,65.4,2.4,7.1,4.2,1
5.8,67.3,8.0,7.5,2.2,1
3.5,86.8,4.1,2.1,3.9,0
5.9,87.5,8.9,9.7,4.9,1
0.2,56.4,8.0,6.7,4.8,0
9.6,96.8,9.1,8.3,6.2,1
4.8,51.6,3.7,5.0,9.1,1
7.8,94.3,6.3,2.1,4.3,1
0.8,50.5,8.2,6.1,6.2,0
4.9,59.5,4.0,6.1,4.7,0
4.9,91.6,3.8,5.5,8.6,1
9.4,54.9,2.2,4.7,3.3,0
